Algo	QI1	QI2	Preferred
CellDE	HV	IGD	HV
CellDE	HV	EP	HV
CellDE	HV	GD	HV
CellDE	HV	ED	HV
CellDE	HV	PFS	HV
CellDE	IGD	HV	IGD
CellDE	IGD	EP	IGD
CellDE	IGD	GD	IGD
CellDE	IGD	ED	IGD
CellDE	IGD	PFS	IGD
CellDE	IGD	C	IGD
CellDE	EP	HV	EP
CellDE	EP	IGD	EP
CellDE	EP	GD	EP
CellDE	EP	GS	EP
CellDE	EP	ED	EP
CellDE	EP	PFS	EP
CellDE	GD	HV	GD
CellDE	GD	IGD	GD
CellDE	GD	EP	GD
CellDE	GD	ED	GD
CellDE	GD	PFS	GD
CellDE	GD	C	GD
CellDE	GS	EP	GS
CellDE	ED	HV	ED
CellDE	ED	IGD	ED
CellDE	ED	EP	ED
CellDE	ED	GD	ED
CellDE	ED	PFS	ED
CellDE	ED	C	ED
CellDE	PFS	HV	PFS
CellDE	PFS	IGD	PFS
CellDE	PFS	EP	PFS
CellDE	PFS	GD	PFS
CellDE	PFS	ED	PFS
CellDE	PFS	C	PFS
CellDE	C	IGD	C
CellDE	C	GD	C
CellDE	C	ED	C
CellDE	C	PFS	C
MOCell	HV	IGD	HV
MOCell	HV	EP	HV
MOCell	HV	GD	HV
MOCell	HV	GS	HV
MOCell	HV	ED	HV
MOCell	HV	PFS	HV
MOCell	IGD	HV	IGD
MOCell	IGD	EP	IGD
MOCell	IGD	GD	IGD
MOCell	IGD	GS	IGD
MOCell	IGD	ED	IGD
MOCell	IGD	PFS	IGD
MOCell	EP	HV	EP
MOCell	EP	IGD	EP
MOCell	EP	GD	EP
MOCell	EP	GS	EP
MOCell	EP	ED	EP
MOCell	EP	PFS	EP
MOCell	EP	C	EP
MOCell	GD	HV	GD
MOCell	GD	IGD	GD
MOCell	GD	EP	GD
MOCell	GD	GS	GD
MOCell	GD	ED	GD
MOCell	GS	HV	GS
MOCell	GS	IGD	GS
MOCell	GS	EP	GS
MOCell	GS	GD	GS
MOCell	GS	ED	GS
MOCell	ED	HV	ED
MOCell	ED	IGD	ED
MOCell	ED	EP	ED
MOCell	ED	GD	ED
MOCell	ED	GS	ED
MOCell	ED	PFS	ED
MOCell	ED	C	ED
MOCell	PFS	HV	PFS
MOCell	PFS	IGD	PFS
MOCell	PFS	EP	PFS
MOCell	PFS	ED	PFS
MOCell	PFS	C	PFS
MOCell	C	EP	C
MOCell	C	ED	C
MOCell	C	PFS	C
NSGA-II	HV	IGD	HV
NSGA-II	HV	EP	HV
NSGA-II	HV	GD	HV
NSGA-II	HV	GS	HV
NSGA-II	HV	ED	HV
NSGA-II	HV	PFS	HV
NSGA-II	IGD	HV	IGD
NSGA-II	IGD	EP	IGD
NSGA-II	IGD	GD	IGD
NSGA-II	IGD	GS	IGD
NSGA-II	IGD	ED	IGD
NSGA-II	IGD	PFS	IGD
NSGA-II	EP	HV	EP
NSGA-II	EP	IGD	EP
NSGA-II	EP	GD	EP
NSGA-II	EP	GS	EP
NSGA-II	EP	ED	EP
NSGA-II	EP	PFS	EP
NSGA-II	GD	HV	GD
NSGA-II	GD	IGD	GD
NSGA-II	GD	EP	GD
NSGA-II	GD	GS	GD
NSGA-II	GD	ED	GD
NSGA-II	GD	PFS	GD
NSGA-II	GS	HV	GS
NSGA-II	GS	IGD	GS
NSGA-II	GS	EP	GS
NSGA-II	GS	GD	GS
NSGA-II	GS	ED	GS
NSGA-II	GS	PFS	GS
NSGA-II	ED	HV	ED
NSGA-II	ED	IGD	ED
NSGA-II	ED	EP	ED
NSGA-II	ED	GD	ED
NSGA-II	ED	GS	ED
NSGA-II	ED	PFS	ED
NSGA-II	PFS	HV	PFS
NSGA-II	PFS	IGD	PFS
NSGA-II	PFS	EP	PFS
NSGA-II	PFS	GD	PFS
NSGA-II	PFS	GS	PFS
NSGA-II	PFS	ED	PFS
PAES	HV	EP	HV
PAES	HV	GD	HV
PAES	HV	GS	HV
PAES	HV	C	HV
PAES	IGD	EP	IGD
PAES	IGD	GD	IGD
PAES	IGD	GS	IGD
PAES	IGD	ED	IGD
PAES	EP	HV	EP
PAES	EP	IGD	EP
PAES	EP	GD	EP
PAES	EP	GS	EP
PAES	EP	ED	EP
PAES	EP	C	EP
PAES	GD	HV	GD
PAES	GD	IGD	GD
PAES	GD	EP	GD
PAES	GD	GS	GD
PAES	GD	ED	GD
PAES	GS	HV	GS
PAES	GS	IGD	GS
PAES	GS	EP	GS
PAES	GS	GD	GS
PAES	GS	ED	GS
PAES	GS	C	GS
PAES	ED	IGD	ED
PAES	ED	EP	ED
PAES	ED	GD	ED
PAES	ED	GS	ED
PAES	ED	PFS	ED
PAES	PFS	ED	PFS
PAES	C	HV	C
PAES	C	EP	C
PAES	C	GS	C
SMPSO	HV	IGD	HV
SMPSO	HV	EP	HV
